"nitwits";"propagators";"suppressors"
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9999;1;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
9998;2;0
